Date,Platform,Daily_Active_Users,New_Registrations,Session_Duration_(minutes),In_game_Purchases_($),Social_Media_Mentions,Stream_Viewership,Revenue_($),Top _genre,Influencer_Endorsements
13-04-2022,PC,142204,14220,31.26663518,60772.72406,7116,85079.54277,87378.40759,Action,0
17-03-2021,PC,132314,13231,23.31443583,43499.83445,6582,64188.42058,41132.11375,Action,0
09-03-2019,VR,111557,11155,33.8593343,52178.79131,5572,34385.66579,71787.34204,Simulation,0
31-03-2021,Console,132909,13290,80.5800103,25085.56244,6619,43129.91571,18639.64116,RPG,0
04-02-2021,Mobile,130694,13069,37.27090315,55277.07444,6555,69341.38983,63849.95975,Action,0
05-05-2022,PC,143731,14373,48.84961757,28236.81172,7088,65182.86741,17343.95413,Simulation,0
25-05-2018,PC,104264,10426,52.47359948,36333.08657,5123,29588.68878,20798.08719,RPG,2
24-07-2021,Console,135586,13558,58.64575429,65920.96975,6828,55361.32371,36327.50554,FPS,0
10-05-2022,VR,142277,14227,67.01901073,22325.15298,7060,30574.64015,17590.71434,Simulation,0
20-04-2018,VR,103451,10345,63.73872888,36817.42436,5232,44473.71233,23876.47159,Action,5
19-11-2019,Console,118823,11882,65.24326803,52148.75665,6098,70906.21834,40590.333,Adventure,0
15-02-2023,VR,150676,15067,73.20832594,31595.38891,7557,77164.58933,38316.97433,FPS,0
11-08-2021,PC,136165,13616,41.0884375,23485.7864,6815,36804.35576,28222.10234,FPS,0
14-11-2021,Mobile,139165,13916,61.9373529,30379.02552,6923,86423.9332,22252.87146,FPS,0
26-09-2020,VR,127692,12769,82.24506229,48949.51252,6406,75725.04418,59524.20982,FPS,0
17-02-2022,Mobile,140860,14086,50.15652323,63631.68256,7022,63434.65054,61733.15722,Simulation,0
26-05-2018,Console,104063,10406,60.00639314,18869.97769,5240,63321.21334,11895.85729,FPS,0
18-10-2024,Console,167831,16783,32.48477892,44901.8907,8376,47773.00475,43133.23329,Simulation,2
29-10-2022,VR,148008,14800,49.74638741,44014.97244,7419,90092.15489,60819.7431,RPG,0
